method,method_role,lr_multiplier,seed,budget_steps,base_learning_rate,matrix_learning_rate,final_val_loss,best_val_loss,normalized_val_auc,init_sha256,derived_script_sha256,wandb_status,evidence_class
diag,selective_diag,0.8,2026,3000,0.0032,0.00032,3.3771,3.3771,3.885421666666667,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,699e23b248ea7f0125aa479e45404d41fbd7fd1b3806fa731b8d6060b1420aa5,uploaded,supporting_only
none,selective_none,0.8,2026,3000,0.0032,0.00032,3.3836,3.3836,3.8967999999999994,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,699e23b248ea7f0125aa479e45404d41fbd7fd1b3806fa731b8d6060b1420aa5,uploaded,supporting_only
diag,selective_diag,1.0,2026,3000,0.004,0.0004,3.3725,3.3725,3.871925000000001,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,df5cacc9ad4a98afdcdb13e45d9f9bd4df50e2b2227fddac502bfdfcab5fb4f4,uploaded,supporting_only
none,selective_none,1.0,2026,3000,0.004,0.0004,3.3787,3.3787,3.882945,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,df5cacc9ad4a98afdcdb13e45d9f9bd4df50e2b2227fddac502bfdfcab5fb4f4,uploaded,supporting_only
diag,selective_diag,1.2,2026,3000,0.0048,0.00048,3.3731,3.3731,3.8664483333333344,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,a5f2ab326b649ddc8e16fcbf8d964db4a0136e53a5c31bdf7a4f8593fee76ae2,uploaded,supporting_only
none,selective_none,1.2,2026,3000,0.0048,0.00048,3.3797,3.3797,3.877608333333333,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,a5f2ab326b649ddc8e16fcbf8d964db4a0136e53a5c31bdf7a4f8593fee76ae2,uploaded,supporting_only
block4,original_newton_muon,0.8,2026,3000,0.0032,0.00032,3.3773,3.3773,3.8841249999999996,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,699e23b248ea7f0125aa479e45404d41fbd7fd1b3806fa731b8d6060b1420aa5,uploaded,supporting_only
muon,muon,0.8,2026,3000,0.00288,0.000288,3.3948,3.3948,3.897763333333333,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,7a0f6301485145ab9f21a4b71ee49e6e822368abe67e48073ecf9110b60891f7,uploaded,supporting_only
block4,original_newton_muon,1.0,2026,3000,0.004,0.0004,3.3738,3.3738,3.871023333333333,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,df5cacc9ad4a98afdcdb13e45d9f9bd4df50e2b2227fddac502bfdfcab5fb4f4,uploaded,supporting_only
muon,muon,1.0,2026,3000,0.0036,0.00036,3.3894,3.3894,3.884233333333333,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,f0e8d88c96889f1b7a89cddc18952862575534b297c060f8226de50e4c37be4e,uploaded,supporting_only
block4,original_newton_muon,1.2,2026,3000,0.0048,0.00048,3.3732,3.3732,3.865446666666667,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,a5f2ab326b649ddc8e16fcbf8d964db4a0136e53a5c31bdf7a4f8593fee76ae2,uploaded,supporting_only
muon,muon,1.2,2026,3000,0.00432,0.00043200000000000004,3.3884,3.3884,3.878323333333333,6fc95ba25ef8a8e8cde42489aa831276600dc31de2c92f558417f5098f6b0324,ab03e6fbc8bde1d8c4c1dbd1564147a7a68ea5b22ebd64b3df1006c6c23a7002,uploaded,supporting_only
