contrast_scope,candidate,reference,metric,n_pairs,delta_definition,repeat_0_delta,repeat_1_delta,repeat_2_delta,repeat_3_delta,mean_delta,median_delta,stdev_delta,ci95_lower,ci95_upper,t_critical_df3,repeat_0_relative_pct,repeat_1_relative_pct,repeat_2_relative_pct,repeat_3_relative_pct,mean_relative_pct,relative_ci95_lower_pct,relative_ci95_upper_pct,throughput_band_pct,descriptive_classification
primary,down_none,muon,step_avg_ms,4,candidate_minus_reference_within_repeat,115.71499162891996,118.4679043944925,112.93706442666007,103.48870734014781,112.65216694755509,114.32602802779002,6.512906561351163,102.28868023028221,123.01565366482797,3.182446,1.5803667777379626,1.620571257092518,1.543010249907395,1.4118615590760886,1.538952460953491,1.3950212711533008,1.6828836507536813,1.0,candidate_higher_step_avg_ms_outside_descriptive_band
primary,down_none,muon,steps_per_s,4,candidate_minus_reference_within_repeat,-0.0021247917819442463,-0.0021814935115439527,-0.0020761135031412137,-0.001899339107301945,-0.0020704344759828394,-0.00210045264254273,0.00012192169977033533,-0.0022644390888564916,-0.0018764298631091872,3.182446,-1.5557797514118787,-1.594727560616238,-1.519563233461274,-1.3922055441745629,-1.5155690224159883,-1.6552510885341194,-1.3758869562978573,1.0,candidate_lower_steps_per_s_outside_descriptive_band
primary,down_none,muon,tokens_per_s,4,candidate_minus_reference_within_repeat,-1114.002833771985,-1143.7308701803559,-1088.4813963349006,-995.8007018891221,-1085.503950544091,-1101.2421150534428,63.92208412918957,-1187.2182410183923,-983.7896600697895,3.182446,-1.5557797514118787,-1.594727560616238,-1.519563233461274,-1.3922055441745629,-1.5155690224159883,-1.6552510885341194,-1.3758869562978573,1.0,candidate_lower_tokens_per_s_outside_descriptive_band
primary,down_none,muon,timed_training_peak_allocated_bytes,4,candidate_minus_reference_within_repeat,2782424064.0,2782424064.0,2782424064.0,2782424064.0,2782424064.0,2782424064.0,0.0,2782424064.0,2782424064.0,3.182446,9.862120334221892,9.862120334221892,9.862120334221892,9.862120334221892,9.862120334221892,9.862120334221892,9.862120334221892,,not_classified_by_throughput_band
primary,down_none,muon,timed_training_peak_reserved_bytes,4,candidate_minus_reference_within_repeat,2740977664.0,2740977664.0,2740977664.0,2740977664.0,2740977664.0,2740977664.0,0.0,2740977664.0,2740977664.0,3.182446,9.359112065878982,9.359112065878982,9.359112065878982,9.359112065878982,9.359112065878982,9.359112065878982,9.359112065878982,,not_classified_by_throughput_band
primary,down_none,muon,k_state_bytes,4,candidate_minus_reference_within_repeat,1811939328.0,1811939328.0,1811939328.0,1811939328.0,1811939328.0,1811939328.0,0.0,1811939328.0,1811939328.0,3.182446,,,,,,,,,not_classified_by_throughput_band
primary,down_none,muon,optimizer_state_bytes,4,candidate_minus_reference_within_repeat,1811939328.0,1811939328.0,1811939328.0,1811939328.0,1811939328.0,1811939328.0,0.0,1811939328.0,1811939328.0,3.182446,40.56486675591751,40.56486675591751,40.56486675591751,40.56486675591751,40.56486675591751,40.56486675591751,40.56486675591751,,not_classified_by_throughput_band
primary,down_none,newton_full,step_avg_ms,4,candidate_minus_reference_within_repeat,-303.1725500986795,-302.237614596379,-298.5501058283262,-298.9395450458687,-300.72495389231335,-300.58857982112386,2.3235402905504414,-304.4222246440639,-297.02768314056283,3.182446,-3.916491742533623,-3.9094441419794013,-3.861848898419873,-3.8660764141001835,-3.8884652992582702,-3.933801551360642,-3.8431290471558985,1.0,candidate_lower_step_avg_ms_outside_descriptive_band
primary,down_none,newton_full,steps_per_s,4,candidate_minus_reference_within_repeat,0.005265695018278671,0.005262605388159564,0.005196100703531714,0.00520092786570614,0.005231332243919022,0.005231766626932852,3.796707988488784e-05,0.005170918153163351,0.005291746334674693,3.182446,4.076133161206963,4.068499871887354,4.016978539913274,4.0215527150992525,4.045791072026711,3.996711949457285,4.094870194596138,1.0,candidate_higher_steps_per_s_outside_descriptive_band
primary,down_none,newton_full,tokens_per_s,4,candidate_minus_reference_within_repeat,2760.740709743288,2759.1208537474013,2724.2532456532354,2726.7840688553406,2742.7247194998163,2742.952461301371,19.905684378688075,2711.050336685707,2774.3991023139256,3.182446,4.076133161206963,4.068499871887354,4.016978539913274,4.0215527150992525,4.045791072026711,3.996711949457285,4.094870194596138,1.0,candidate_higher_tokens_per_s_outside_descriptive_band
primary,down_none,newton_full,timed_training_peak_allocated_bytes,4,candidate_minus_reference_within_repeat,-6734488064.0,-6734488064.0,-6734488064.0,-6734488064.0,-6734488064.0,-6734488064.0,0.0,-6734488064.0,-6734488064.0,3.182446,-17.849086174698805,-17.849086174698805,-17.849086174698805,-17.849086174698805,-17.849086174698805,-17.849086174698805,-17.849086174698805,,not_classified_by_throughput_band
