position_index,metric,n,methods,mean,median,stdev,cv_pct,overall_mean,position_minus_overall_pct
0,step_avg_ms,4,"muon,newton_full,down_none,down_diag",7479.302983767411,7432.108342334686,175.61336683916423,2.347991079119324,7480.774038638629,-0.019664474072056404
1,step_avg_ms,4,"newton_full,down_none,down_diag,muon",7483.232199903796,7431.030047186141,178.28891041662436,2.3825120703713623,7480.774038638629,0.03285971815845112
2,step_avg_ms,4,"down_none,down_diag,muon,newton_full",7481.985084845292,7438.148134368021,176.08302061754765,2.3534265120923936,7480.774038638629,0.016188782075321484
3,step_avg_ms,4,"down_diag,muon,newton_full,down_none",7478.575886038016,7436.6459938719345,178.38457967239583,2.3852747152760396,7480.774038638629,-0.029384026161727306
0,steps_per_s,4,"muon,newton_full,down_none,down_diag",0.1337566841560399,0.1345513216586497,0.0030886500734370664,2.309155682891976,0.13373130699702324,0.018976228967249043
1,steps_per_s,4,"newton_full,down_none,down_diag,muon",0.1336879836744045,0.1345708589491744,0.003127949380332826,2.3397386170105685,0.13373130699702324,-0.032395796909179264
2,steps_per_s,4,"down_none,down_diag,muon,newton_full",0.1337090421961225,0.1344420660648203,0.003097814658700528,2.3168325850070017,0.13373130699702324,-0.01664890697675725
3,steps_per_s,4,"down_diag,muon,newton_full,down_none",0.13377151796152603,0.13446924690892398,0.0031430211727372323,2.349544372847137,0.13373130699702324,0.030068474918665267
0,tokens_per_s,4,"muon,newton_full,down_none,down_diag",70127.02442280184,70543.64332977013,1619.3421697021727,2.309155682891976,70113.71948285532,0.018976228967249043
1,tokens_per_s,4,"newton_full,down_none,down_diag,muon",70091.00558468618,70553.88649674474,1639.9463247159367,2.3397386170105685,70113.71948285532,-0.032395796909179264
2,tokens_per_s,4,"down_none,down_diag,muon,newton_full",70102.04631492068,70486.3619329925,1624.1470517807825,2.3168325850070017,70113.71948285532,-0.01664890697675725
3,tokens_per_s,4,"down_diag,muon,newton_full,down_none",70134.80160901256,70500.61252338593,1647.848284612058,2.349544372847137,70113.71948285532,0.030068474918665267
