repeat_index,position_index,method,method_role,attempt,steady_train_s,steady_steps,step_avg_ms,steps_per_s,tokens_per_s,tokens_seen,timed_training_peak_allocated_bytes,timed_training_peak_allocated_mib,timed_training_peak_reserved_bytes,timed_training_peak_reserved_mib,k_state_bytes,k_state_mib,optimizer_state_bytes,optimizer_state_mib,model_parameter_bytes,init_sha256,runtime_fingerprint,data_fingerprint,derived_base_sha256,profile_wrapper_sha256,exclusive_before_minimum_free_fraction,exclusive_after_minimum_free_fraction,gpu_monitor_sample_count,gpu_monitor_timing_process_pid,worker_manifest,trainer_summary
0,0,muon,Muon baseline,attempt_001,3748.8813703618944,512,7322.033926488075,0.1365740735483915,71604.14787253908,285212672,28213243904,26906.24609375,29286727680,27930.0,0,0.0,4466770072,4259.843894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,400,1826924,formal/repeat_0/muon/attempt_001/worker_manifest.json,formal/repeat_0/muon/attempt_001/trainer/summary.json
0,1,newton_full,original Newton-Muon control for LLaMA,attempt_001,3963.3517917264253,512,7740.921468215674,0.12918358674816857,67729.4043290238,285212672,37730156032,35982.28076171875,38751174656,36956.0,6174277632,5888.25,10641047704,10148.093894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,423,4076493,formal/repeat_0/newton_full/attempt_001/worker_manifest.json,formal/repeat_0/newton_full/attempt_001/trainer/summary.json
0,2,down_none,Selective-none,attempt_001,3808.1274460759014,512,7437.748918116995,0.13444928176644724,70490.14503876709,285212672,30995667968,29559.7724609375,32027705344,30544.0,1811939328,1728.0,6278709400,5987.843894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,406,2307502,formal/repeat_0/down_none/attempt_001/worker_manifest.json,formal/repeat_0/down_none/attempt_001/trainer/summary.json
0,3,down_diag,Selective-diag,attempt_001,3809.206294208765,512,7439.856043376494,0.13441120287404934,70470.18073242958,285212672,30996866048,29560.9150390625,32029802496,30546.0,1812731904,1728.755859375,6279501976,5988.599754333496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,407,4179390,formal/repeat_0/down_diag/attempt_001/worker_manifest.json,formal/repeat_0/down_diag/attempt_001/trainer/summary.json
1,0,newton_full,original Newton-Muon control for LLaMA,attempt_001,3958.252197843045,512,7730.961323912197,0.1293500197584687,67816.66315912803,285212672,37730156032,35982.28076171875,38751174656,36956.0,6174277632,5888.25,10641047704,10148.093894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,422,1319059,formal/repeat_1/newton_full/attempt_001/worker_manifest.json,formal/repeat_1/newton_full/attempt_001/trainer/summary.json
1,1,down_none,Selective-none,attempt_001,3803.506539169699,512,7428.723709315818,0.13461262514662825,70575.78401287543,285212672,30995667968,29559.7724609375,32027705344,30544.0,1811939328,1728.0,6278709400,5987.843894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,406,2695386,formal/repeat_1/down_none/attempt_001/worker_manifest.json,formal/repeat_1/down_none/attempt_001/trainer/summary.json
1,2,down_diag,Selective-diag,attempt_001,3808.536243516952,512,7438.5473506190465,0.13443485036319336,70482.57882721792,285212672,30996866048,29560.9150390625,32029802496,30546.0,1812731904,1728.755859375,6279501976,5988.599754333496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,406,4015341,formal/repeat_1/down_diag/attempt_001/worker_manifest.json,formal/repeat_1/down_diag/attempt_001/trainer/summary.json
1,3,muon,Muon baseline,attempt_001,3742.850972119719,512,7310.255804921326,0.1367941186581722,71719.51488305579,285212672,28213243904,26906.24609375,29286727680,27930.0,0,0.0,4466770072,4259.843894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,400,1149318,formal/repeat_1/muon/attempt_001/worker_manifest.json,formal/repeat_1/muon/attempt_001/trainer/summary.json
2,0,down_none,Selective-none,attempt_001,3805.2892905771732,512,7432.2056456585415,0.13454956007361574,70542.71975187585,285212672,30995667968,29559.7724609375,32027705344,30544.0,1811939328,1728.0,6278709400,5987.843894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,406,2440521,formal/repeat_2/down_none/attempt_001/worker_manifest.json,formal/repeat_2/down_none/attempt_001/trainer/summary.json
2,1,down_diag,Selective-diag,attempt_001,3805.8682291489094,512,7433.336385056464,0.13452909275172054,70531.98898061406,285212672,30996866048,29560.9150390625,32029802496,30546.0,1812731904,1728.755859375,6279501976,5988.599754333496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,406,3759967,formal/repeat_2/down_diag/attempt_001/worker_manifest.json,formal/repeat_2/down_diag/attempt_001/trainer/summary.json
2,2,muon,Muon baseline,attempt_001,3747.4655135907233,512,7319.268581231881,0.13662567357675695,71631.20114821075,285212672,28213243904,26906.24609375,29286727680,27930.0,0,0.0,4466770072,4259.843894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,400,874472,formal/repeat_2/muon/attempt_001/worker_manifest.json,formal/repeat_2/muon/attempt_001/trainer/summary.json
2,3,newton_full,original Newton-Muon control for LLaMA,attempt_001,3958.1469447612762,512,7730.755751486868,0.12935345937008402,67818.46650622261,285212672,37730156032,35982.28076171875,38751174656,36956.0,6174277632,5888.25,10641047704,10148.093894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,423,2172737,formal/repeat_2/newton_full/attempt_001/worker_manifest.json,formal/repeat_2/newton_full/attempt_001/trainer/summary.json
3,0,down_diag,Selective-diag,attempt_001,3805.1896519735456,512,7432.011039010831,0.13455308324368362,70544.5669076644,285212672,30996866048,29560.9150390625,32029802496,30546.0,1812731904,1728.755859375,6279501976,5988.599754333496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,406,3542737,formal/repeat_3/down_diag/attempt_001/worker_manifest.json,formal/repeat_3/down_diag/attempt_001/trainer/summary.json
3,1,muon,Muon baseline,attempt_001,3752.93298535794,512,7329.947237027227,0.13642663005110053,71526.8450162314,285212672,28213243904,26906.24609375,29286727680,27930.0,0,0.0,4466770072,4259.843894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,400,669309,formal/repeat_3/muon/attempt_001/worker_manifest.json,formal/repeat_3/muon/attempt_001/trainer/summary.json
3,2,newton_full,original Newton-Muon control for LLaMA,attempt_001,3958.9762505795807,512,7732.3754894132435,0.12932636307809245,67804.26024548693,285212672,37730156032,35982.28076171875,38751174656,36956.0,6174277632,5888.25,10641047704,10148.093894958496,4054761472,521d734608ff08ab6a191c4c1a41412c40bf53985ee3cbcefc3ab15457d39fec,2951a374071707c9de19b1dd8e8406579538e75cc4d12960da0db928fae6cefc,097478adc4e938305a50d8fa888a9b11508523dc41c403db339f0ba5e9424d0d,a21f364b73ea859e1ca62bc75600de348b00a0ce5fcbd315ed7e848eb2b4666a,043c758f3d5eb5d1abc9e1f9029a8d085a238cf169ef69ba86580014699dc401,0.9958925440478672,0.9958925440478672,422,1964859,formal/repeat_3/newton_full/attempt_001/worker_manifest.json,formal/repeat_3/newton_full/attempt_001/trainer/summary.json
