check,status,details
val/loss: row count,PASS,"observed=63, expected=63"
val/loss: exact step grid,PASS,"first=[0, 100, 200], last=[6000, 6100, 6200]"
diag seed2026 val/loss: finite,PASS,nonfinite=0
diag seed2026 val/loss: MIN/MAX mirrors,PASS,points=63
muon seed2026 val/loss: finite,PASS,nonfinite=0
muon seed2026 val/loss: MIN/MAX mirrors,PASS,points=63
muon seed2025 val/loss: finite,PASS,nonfinite=0
muon seed2025 val/loss: MIN/MAX mirrors,PASS,points=63
diag seed2025 val/loss: finite,PASS,nonfinite=0
diag seed2025 val/loss: MIN/MAX mirrors,PASS,points=63
diag seed2024 val/loss: finite,PASS,nonfinite=0
diag seed2024 val/loss: MIN/MAX mirrors,PASS,points=63
muon seed2024 val/loss: finite,PASS,nonfinite=0
muon seed2024 val/loss: MIN/MAX mirrors,PASS,points=63
val/loss: exact method-seed coverage,PASS,"[[""diag"", 2024], [""diag"", 2025], [""diag"", 2026], [""muon"", 2024], [""muon"", 2025], [""muon"", 2026]]"
train/loss_step: row count,PASS,"observed=310, expected=310"
train/loss_step: exact step grid,PASS,"first=[20, 40, 60], last=[6160, 6180, 6200]"
diag seed2026 train/loss_step: finite,PASS,nonfinite=0
diag seed2026 train/loss_step: MIN/MAX mirrors,PASS,points=310
muon seed2026 train/loss_step: finite,PASS,nonfinite=0
muon seed2026 train/loss_step: MIN/MAX mirrors,PASS,points=310
muon seed2025 train/loss_step: finite,PASS,nonfinite=0
muon seed2025 train/loss_step: MIN/MAX mirrors,PASS,points=310
diag seed2025 train/loss_step: finite,PASS,nonfinite=0
diag seed2025 train/loss_step: MIN/MAX mirrors,PASS,points=310
diag seed2024 train/loss_step: finite,PASS,nonfinite=0
diag seed2024 train/loss_step: MIN/MAX mirrors,PASS,points=310
muon seed2024 train/loss_step: finite,PASS,nonfinite=0
muon seed2024 train/loss_step: MIN/MAX mirrors,PASS,points=310
