target_val_loss,method,seed,reached,first_discrete_step,interpolated_step
3.5,diag,2024,True,2400,2388.6075949367078
3.5,diag,2025,True,2400,2377.922077922077
3.5,diag,2026,True,2500,2407.8947368421045
3.5,muon,2024,True,2800,2715.2941176470595
3.5,muon,2025,True,2700,2698.5294117647027
3.5,muon,2026,True,2800,2708.1395348837227
3.4,diag,2024,True,4200,4200.0
3.4,diag,2025,True,4200,4179.999999999998
3.4,diag,2026,True,4300,4214.2857142857165
3.4,muon,2024,True,4700,4614.1176470588225
3.4,muon,2025,True,4600,4595.833333333334
3.4,muon,2026,True,4600,4590.999999999999
3.3,diag,2024,True,5600,5530.136986301373
3.3,diag,2025,True,5600,5525.352112676061
3.3,diag,2026,True,5600,5535.211267605638
3.3,muon,2024,True,5800,5783.783783783786
3.3,muon,2025,True,5800,5762.66666666667
3.3,muon,2026,True,5800,5758.666666666667
