check,status,severity_if_failed,evidence
wandb_export_2026-07-23T10_09_14.143+08_00.csv: exactly one metric,PASS,critical,['val/loss']
val/loss: unique export file,PASS,critical,wandb_export_2026-07-23T10_09_14.143+08_00.csv
val/loss: exact nine-run coverage,PASS,critical,observed=9
val/loss: exact step coverage,PASS,critical,"observed_first_last=(0, 100)...(6100, 6200); expected_points=63"
moonlight_r1scale seed2025 val/loss: MIN/MAX mirrors,PASS,high,points=63
moonlight_r1scale seed2025 val/loss: finite,PASS,critical,finite=63/63
normuon_r1scale seed2025 val/loss: MIN/MAX mirrors,PASS,high,points=63
normuon_r1scale seed2025 val/loss: finite,PASS,critical,finite=63/63
adamw_low seed2025 val/loss: MIN/MAX mirrors,PASS,high,points=63
adamw_low seed2025 val/loss: finite,PASS,critical,finite=63/63
moonlight_r1scale seed2024 val/loss: MIN/MAX mirrors,PASS,high,points=63
moonlight_r1scale seed2024 val/loss: finite,PASS,critical,finite=63/63
normuon_r1scale seed2024 val/loss: MIN/MAX mirrors,PASS,high,points=63
normuon_r1scale seed2024 val/loss: finite,PASS,critical,finite=63/63
adamw_low seed2024 val/loss: MIN/MAX mirrors,PASS,high,points=63
adamw_low seed2024 val/loss: finite,PASS,critical,finite=63/63
moonlight_r1scale seed2026 val/loss: MIN/MAX mirrors,PASS,high,points=63
moonlight_r1scale seed2026 val/loss: finite,PASS,critical,finite=63/63
normuon_r1scale seed2026 val/loss: MIN/MAX mirrors,PASS,high,points=63
normuon_r1scale seed2026 val/loss: finite,PASS,critical,finite=63/63
adamw_low seed2026 val/loss: MIN/MAX mirrors,PASS,high,points=63
adamw_low seed2026 val/loss: finite,PASS,critical,finite=63/63
wandb_export_2026-07-23T10_09_09.832+08_00.csv: exactly one metric,PASS,critical,['train/loss_step']
train/loss_step: unique export file,PASS,critical,wandb_export_2026-07-23T10_09_09.832+08_00.csv
train/loss_step: exact nine-run coverage,PASS,critical,observed=9
train/loss_step: exact step coverage,PASS,critical,"observed_first_last=(20, 40)...(6180, 6200); expected_points=310"
moonlight_r1scale seed2025 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
moonlight_r1scale seed2025 train/loss_step: finite,PASS,critical,finite=310/310
normuon_r1scale seed2025 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
normuon_r1scale seed2025 train/loss_step: finite,PASS,critical,finite=310/310
adamw_low seed2025 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
adamw_low seed2025 train/loss_step: finite,PASS,critical,finite=310/310
moonlight_r1scale seed2024 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
moonlight_r1scale seed2024 train/loss_step: finite,PASS,critical,finite=310/310
normuon_r1scale seed2024 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
normuon_r1scale seed2024 train/loss_step: finite,PASS,critical,finite=310/310
adamw_low seed2024 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
adamw_low seed2024 train/loss_step: finite,PASS,critical,finite=310/310
moonlight_r1scale seed2026 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
moonlight_r1scale seed2026 train/loss_step: finite,PASS,critical,finite=310/310
normuon_r1scale seed2026 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
normuon_r1scale seed2026 train/loss_step: finite,PASS,critical,finite=310/310
adamw_low seed2026 train/loss_step: MIN/MAX mirrors,PASS,high,points=310
adamw_low seed2026 train/loss_step: finite,PASS,critical,finite=310/310
wandb_export_2026-07-23T10_09_05.858+08_00.csv: exactly one metric,PASS,critical,['time/train_s']
