candidate,candidate_display,reference,reference_display,seed,candidate_better_checkpoints,ties,candidate_worse_checkpoints,total_post_initial_checkpoints,mean_curve_delta_candidate_minus_reference,final_delta_candidate_minus_reference,max_advantage_candidate,max_disadvantage_candidate
moonlight_r1scale,Moonlight Muon,diag,Newton–Muon diag,2024,3,0,59,62,0.037246774193548396,0.014100000000000001,-0.011199999999999655,0.054199999999999804
moonlight_r1scale,Moonlight Muon,diag,Newton–Muon diag,2025,3,0,59,62,0.038798387096774176,0.015099999999999891,-0.01810000000000045,0.05549999999999988
moonlight_r1scale,Moonlight Muon,diag,Newton–Muon diag,2026,2,0,60,62,0.035558064516129,0.012399999999999967,-0.013600000000000279,0.052999999999999936
moonlight_r1scale,Moonlight Muon,block4,Newton–Muon block4,2024,0,0,62,62,0.035717741935483875,0.012399999999999967,0.0007999999999999119,0.05149999999999988
moonlight_r1scale,Moonlight Muon,block4,Newton–Muon block4,2025,1,0,61,62,0.037996774193548404,0.014100000000000001,-0.00509999999999966,0.05359999999999987
moonlight_r1scale,Moonlight Muon,block4,Newton–Muon block4,2026,0,0,62,62,0.03543548387096772,0.011800000000000033,0.009100000000000108,0.05140000000000011
moonlight_r1scale,Moonlight Muon,none,Newton–Muon none,2024,4,0,58,62,0.028685483870967744,0.008399999999999963,-0.0354000000000001,0.04700000000000015
moonlight_r1scale,Moonlight Muon,none,Newton–Muon none,2025,4,0,58,62,0.02904032258064514,0.009100000000000108,-0.04600000000000026,0.04709999999999992
moonlight_r1scale,Moonlight Muon,none,Newton–Muon none,2026,4,0,58,62,0.026843548387096773,0.007400000000000073,-0.03249999999999975,0.04590000000000005
moonlight_r1scale,Moonlight Muon,muon,Muon,2024,2,0,60,62,0.01944354838709674,-0.002000000000000224,-0.002000000000000224,0.0697000000000001
moonlight_r1scale,Moonlight Muon,muon,Muon,2025,2,0,60,62,0.018137096774193496,-0.0019000000000000128,-0.0019000000000000128,0.06459999999999955
moonlight_r1scale,Moonlight Muon,muon,Muon,2026,2,0,60,62,0.018954838709677388,-0.0025999999999997137,-0.0025999999999997137,0.06050000000000022
normuon_r1scale,NorMuon,diag,Newton–Muon diag,2024,0,0,62,62,0.11162580645161294,0.07210000000000027,0.07200000000000006,0.43900000000000006
normuon_r1scale,NorMuon,diag,Newton–Muon diag,2025,0,0,62,62,0.116291935483871,0.07509999999999994,0.07509999999999994,0.4367000000000001
normuon_r1scale,NorMuon,diag,Newton–Muon diag,2026,0,0,62,62,0.11060967741935483,0.07289999999999974,0.07279999999999998,0.42520000000000024
normuon_r1scale,NorMuon,block4,Newton–Muon block4,2024,0,0,62,62,0.11009677419354842,0.07040000000000024,0.07010000000000005,0.44870000000000054
normuon_r1scale,NorMuon,block4,Newton–Muon block4,2025,0,0,62,62,0.1154903225806452,0.07410000000000005,0.07410000000000005,0.44540000000000024
normuon_r1scale,NorMuon,block4,Newton–Muon block4,2026,0,0,62,62,0.11048709677419356,0.07229999999999981,0.07200000000000006,0.43759999999999977
normuon_r1scale,NorMuon,none,Newton–Muon none,2024,0,0,62,62,0.10306451612903227,0.06640000000000024,0.06630000000000003,0.4356
normuon_r1scale,NorMuon,none,Newton–Muon none,2025,0,0,62,62,0.10653387096774197,0.06910000000000016,0.06899999999999995,0.4352999999999998
normuon_r1scale,NorMuon,none,Newton–Muon none,2026,0,0,62,62,0.10189516129032263,0.06789999999999985,0.0676000000000001,0.4231999999999996
normuon_r1scale,NorMuon,muon,Muon,2024,0,0,62,62,0.0938225806451613,0.05600000000000005,0.05310000000000015,0.5032000000000005
normuon_r1scale,NorMuon,muon,Muon,2025,0,0,62,62,0.0956306451612903,0.05810000000000004,0.05469999999999997,0.49129999999999985
normuon_r1scale,NorMuon,muon,Muon,2026,0,0,62,62,0.09400645161290323,0.05790000000000006,0.05490000000000039,0.4820000000000002
adamw_low,AdamW,diag,Newton–Muon diag,2024,0,0,62,62,0.26215483870967743,0.14320000000000022,0.14320000000000022,1.0374999999999996
adamw_low,AdamW,diag,Newton–Muon diag,2025,0,0,62,62,0.25728870967741935,0.14159999999999995,0.14159999999999995,1.0191999999999997
adamw_low,AdamW,diag,Newton–Muon diag,2026,0,0,62,62,0.22088225806451608,0.13319999999999999,0.13319999999999999,0.6688000000000001
adamw_low,AdamW,block4,Newton–Muon block4,2024,0,0,62,62,0.26062580645161293,0.14150000000000018,0.14150000000000018,1.0472000000000001
adamw_low,AdamW,block4,Newton–Muon block4,2025,0,0,62,62,0.2564870967741936,0.14060000000000006,0.14060000000000006,1.0278999999999998
adamw_low,AdamW,block4,Newton–Muon block4,2026,0,0,62,62,0.22075967741935484,0.13260000000000005,0.13260000000000005,0.6811999999999996
adamw_low,AdamW,none,Newton–Muon none,2024,0,0,62,62,0.2535935483870968,0.13750000000000018,0.13750000000000018,1.0340999999999996
adamw_low,AdamW,none,Newton–Muon none,2025,0,0,62,62,0.24753064516129034,0.13560000000000016,0.13560000000000016,1.0177999999999994
adamw_low,AdamW,none,Newton–Muon none,2026,0,0,62,62,0.21216774193548388,0.1282000000000001,0.1282000000000001,0.6667999999999994
adamw_low,AdamW,muon,Muon,2024,0,0,62,62,0.24435161290322582,0.1271,0.1271,1.1017000000000001
adamw_low,AdamW,muon,Muon,2025,0,0,62,62,0.2366274193548387,0.12460000000000004,0.12460000000000004,1.0737999999999994
adamw_low,AdamW,muon,Muon,2026,0,0,62,62,0.20427903225806446,0.1182000000000003,0.1182000000000003,0.7256
