metric,candidate,candidate_display,reference,reference_display,paired_mean_delta_all3,paired_sd_delta_all3,wins_all3,losses_all3,paired_mean_delta_confirmatory_2024_2025,paired_sd_delta_confirmatory_2024_2025,wins_confirmatory,losses_confirmatory
final_val_loss,moonlight_r1scale,Moonlight Muon,diag,Newton–Muon diag,0.01386666666666662,0.0013650396819628538,0,3,0.014599999999999946,0.0007071067811864697,0,2
final_val_loss,moonlight_r1scale,Moonlight Muon,block4,Newton–Muon block4,0.012766666666666667,0.0011930353445448781,0,3,0.013249999999999984,0.0012020815280171554,0,2
final_val_loss,moonlight_r1scale,Moonlight Muon,none,Newton–Muon none,0.008300000000000049,0.000854400374531763,0,3,0.008750000000000036,0.0004949747468306857,0,2
final_val_loss,moonlight_r1scale,Moonlight Muon,muon,Muon,-0.00216666666666665,0.0003785938897198006,3,0,-0.0019500000000001183,7.071067811880398e-05,2,0
final_val_loss,normuon_r1scale,NorMuon,diag,Newton–Muon diag,0.07336666666666665,0.0015534906930307014,0,3,0.07360000000000011,0.002121320343559409,0,2
final_val_loss,normuon_r1scale,NorMuon,block4,Newton–Muon block4,0.0722666666666667,0.00185022521151696,0,3,0.07225000000000015,0.0026162950903900945,0,2
final_val_loss,normuon_r1scale,NorMuon,none,Newton–Muon none,0.06780000000000008,0.0013527749258468178,0,3,0.0677500000000002,0.001909188309203625,0,2
final_val_loss,normuon_r1scale,NorMuon,muon,Muon,0.05733333333333338,0.0011590225767142473,0,3,0.057050000000000045,0.0014849242404917434,0,2
final_val_loss,adamw_low,AdamW,diag,Newton–Muon diag,0.1393333333333334,0.005371529887595725,0,3,0.14240000000000008,0.0011313708498986654,0,2
final_val_loss,adamw_low,AdamW,block4,Newton–Muon block4,0.13823333333333343,0.004899319680663201,0,3,0.14105000000000012,0.0006363961030679797,0,2
final_val_loss,adamw_low,AdamW,none,Newton–Muon none,0.1337666666666668,0.004913586605864782,0,3,0.13655000000000017,0.0013435028842544493,0,2
final_val_loss,adamw_low,AdamW,muon,Muon,0.12330000000000012,0.0045902069670112336,0,3,0.12585000000000002,0.001767766952966331,0,2
tail3_val_loss_mean,moonlight_r1scale,Moonlight Muon,diag,Newton–Muon diag,0.015300000000000017,0.0013576941236275004,0,3,0.016016666666666568,0.0007778174593049596,0,2
tail3_val_loss_mean,moonlight_r1scale,Moonlight Muon,block4,Newton–Muon block4,0.014177777777777845,0.001211671633796559,0,3,0.014666666666666606,0.0012256517540562334,0,2
tail3_val_loss_mean,moonlight_r1scale,Moonlight Muon,none,Newton–Muon none,0.009655555555555603,0.0008474362206960592,0,3,0.010116666666666552,0.0004006938426721758,0,2
tail3_val_loss_mean,moonlight_r1scale,Moonlight Muon,muon,Muon,-0.0009222222222223427,0.0003595264374967198,3,0,-0.0007166666666669208,7.071067811848996e-05,2,0
tail3_val_loss_mean,normuon_r1scale,NorMuon,diag,Newton–Muon diag,0.07338888888888902,0.0016317452597119778,0,3,0.07361666666666689,0.002239171473757311,0,2
tail3_val_loss_mean,normuon_r1scale,NorMuon,block4,Newton–Muon block4,0.07226666666666685,0.0018999999999997907,0,3,0.07226666666666692,0.0026870057685085846,0,2
tail3_val_loss_mean,normuon_r1scale,NorMuon,none,Newton–Muon none,0.06774444444444461,0.0013175454170258533,0,3,0.06771666666666687,0.001862047857124527,0,2
tail3_val_loss_mean,normuon_r1scale,NorMuon,muon,Muon,0.057166666666666664,0.0011893041849940285,0,3,0.0568833333333334,0.0015320646925708413,0,2
tail3_val_loss_mean,adamw_low,AdamW,diag,Newton–Muon diag,0.1399666666666667,0.005379900866496923,0,3,0.14305000000000012,0.0009192388155422535,0,2
tail3_val_loss_mean,adamw_low,AdamW,block4,Newton–Muon block4,0.13884444444444455,0.004957187075721939,0,3,0.14170000000000016,0.00047140452079097976,0,2
tail3_val_loss_mean,adamw_low,AdamW,none,Newton–Muon none,0.13432222222222232,0.004982896673548353,0,3,0.1371500000000001,0.0012963624321750374,0,2
tail3_val_loss_mean,adamw_low,AdamW,muon,Muon,0.12374444444444437,0.0046012478178730715,0,3,0.12631666666666663,0.001626345596728723,0,2
tail5_val_loss_mean,moonlight_r1scale,Moonlight Muon,diag,Newton–Muon diag,0.017426666666666552,0.0013404974201142307,0,3,0.018139999999999823,0.0007353910524338028,0,2
tail5_val_loss_mean,moonlight_r1scale,Moonlight Muon,block4,Newton–Muon block4,0.01624666666666667,0.0012123255888301034,0,3,0.016739999999999977,0.001216223663640037,0,2
tail5_val_loss_mean,moonlight_r1scale,Moonlight Muon,none,Newton–Muon none,0.011733333333333077,0.0008431686268673695,0,3,0.012199999999999767,0.0003394112549695682,0,2
