method,display_name,family,run_name,seed,batch,seed_role,initial_val_loss,final_val_loss,best_val_loss,tail3_val_loss_mean,tail5_val_loss_mean,tail5_val_loss_sd,normalized_val_auc,final_train_loss_step,train_time_s_descriptive_only,final_step_avg_ms_descriptive_only,max_auxiliary_lr,max_matrix_lr,peak_memory_mib,optimizer_state_mib,final_perplexity,timing_eligible,final_rank_within_seed
diag,Newton–Muon diag,core_frozen,mainconf_official_r1_diag_seed2024_20260720T023049+0000,2024,,core_prespecified,10.9462,3.2613,3.2613,3.2645666666666666,3.2696,0.0076681158050722,3.615781451612903,3.3525,7328.779,1188.19,0.004,0.0004,38304.0,780.7558631896973,,False,1
block4,Newton–Muon block4,core_frozen,mainconf_official_r1_block4_seed2024_20260720T023049+0000,2024,,core_prespecified,10.9462,3.263,3.263,3.266233333333333,3.2713399999999995,0.0077908921183649,3.617296774193548,3.3521,7368.358,1194.61,0.004,0.0004,39168.0,996.4746131896972,,False,2
none,Newton–Muon none,core_frozen,mainconf_official_r1_none_seed2024_20260720T023049+0000,2024,,core_prespecified,10.9462,3.267,3.267,3.2702,3.2752600000000003,0.0077105771509013,3.624296774193548,3.3575,7332.987,1188.88,0.004,0.0004,38304.0,780.4746131896973,,False,3
moonlight_r1scale,Moonlight Muon,extended_pilot_tuned,mainconf_r1_extended_formal_moonlight_r1scale_seed2024_20260721T190357+0000,2024,20260721T190357+0000,confirmatory_seed,10.9462,3.2754,3.2754,3.2800333333333334,3.28722,0.010942897239762384,3.652914516129033,3.3702,7217.394,1170.14,0.0018,0.0018,37703.0,618.4746131896973,26.453804886495142,False,4
muon,Muon,core_frozen,mainconf_official_r1_muon_seed2024_20260720T023049+0000,2024,,core_prespecified,10.9462,3.2774,3.2774,3.2808,3.28604,0.0079886169015668,3.6334548387096777,3.366,7206.661,1168.4,0.0036,0.00036,37703.0,618.4746131896973,,False,5
normuon_r1scale,NorMuon,extended_pilot_tuned,mainconf_r1_extended_formal_normuon_r1scale_seed2024_20260721T190357+0000,2024,20260721T190357+0000,confirmatory_seed,10.9462,3.3334,3.3334,3.3366000000000002,3.3416400000000004,0.007675806146588066,3.7268258064516133,3.4303,7312.429,1185.54,0.0003,0.01,37703.0,618.7910194396973,28.03349373181299,False,6
adamw_low,AdamW,extended_pilot_tuned,mainconf_r1_extended_formal_adamw_low_seed2024_20260721T190357+0000,2024,20260721T190357+0000,confirmatory_seed,10.9462,3.4045,3.4045,3.4082666666666666,3.4141400000000006,0.00889511101673264,3.8767814516129024,3.4994,7098.648,1150.88,0.0027,0.000432,38026.0,942.474796295166,30.099242339715477,False,7
diag,Newton–Muon diag,core_frozen,mainconf_official_r1_diag_seed2025_20260720T152121+0000,2025,,core_prespecified,10.9869,3.2599,3.2599,3.263,3.26802,0.0076332823870206,3.612770967741936,3.3505,7343.324,1190.55,0.004,0.0004,38304.0,780.7558631896973,,False,1
block4,Newton–Muon block4,core_frozen,mainconf_official_r1_block4_seed2025_20260720T152121+0000,2025,,core_prespecified,10.9869,3.2609,3.2609,3.2640333333333333,3.26908,0.007699155797878,3.613564516129033,3.3498,7337.476,1189.6,0.004,0.0004,39168.0,996.4746131896972,,False,2
none,Newton–Muon none,core_frozen,mainconf_official_r1_none_seed2025_20260720T152121+0000,2025,,core_prespecified,10.9869,3.2659,3.2659,3.2691666666666666,3.27424,0.0077173829761131,3.622480645161291,3.3573,7338.434,1189.76,0.004,0.0004,38304.0,780.4746131896973,,False,3
