source_type,source_file,sha256,bytes,metric,rows,run_columns,preserved_copy
wandb_export,wandb_export_2026-07-23T10_09_14.143+08_00.csv,b7753f77c95ffab72956d58560ee340310999ed037d8c3eb10aa36ef4b53bd4a,17982,val/loss,63,9,PRIVATE_PATH_REDACTED
wandb_export,wandb_export_2026-07-23T10_09_09.832+08_00.csv,e962b0340661ed725938468b3f6025ab2ed584b927c2d4f302e11b30b0b0fd0b,79070,train/loss_step,310,9,PRIVATE_PATH_REDACTED
wandb_export,wandb_export_2026-07-23T10_09_05.858+08_00.csv,6a47f7bd350b3ff36226067b452e815159da775bda782e0c8f45b4d1e23bd52a,94656,time/train_s,311,9,PRIVATE_PATH_REDACTED
wandb_export,wandb_export_2026-07-23T10_09_00.811+08_00.csv,027b0983971f2cb5d9d7e456994c880f2025256dc994ff8d91a45ba0a08aa6c9,87369,performance/step_avg_ms,309,9,PRIVATE_PATH_REDACTED
wandb_export,wandb_export_2026-07-23T10_08_54.834+08_00.csv,a0fd41df886611e1144fb21c408611dcb3d346522c50b02ef481132c07041067,3433,memory/optimizer_state_mib,1,9,PRIVATE_PATH_REDACTED
wandb_export,wandb_export_2026-07-23T10_08_50.747+08_00.csv,e1c936b6ab0c04e4e2b5bc69248a81bd411b4c8a5ea3c433d78bb83b857b9809,3091,memory/peak_allocated_mib,1,9,PRIVATE_PATH_REDACTED
wandb_export,wandb_export_2026-07-23T10_08_46.251+08_00.csv,46eab77b22b010c4a6ecdd5e728453ea079998e2220e6dc7a5d1954da96abc75,100344,lr/auxiliary,311,9,PRIVATE_PATH_REDACTED
wandb_export,wandb_export_2026-07-23T10_08_42.320+08_00.csv,fa51934d7ca52e9c9d79ba42edd99a8100d81a7b493b1eaa2303f13270cfd6c0,101334,lr/matrix,311,9,PRIVATE_PATH_REDACTED
frozen_core_reference,formal_seed2024_2025_history_long.csv,39e23f6fd3db805ee42b116adff6d8b31d74eaa21ba601c95f02d6d12e087ac5,1843181,multiple,12944,4,PRIVATE_PATH_REDACTED
frozen_core_reference,normalized_history_long.csv,cc5f3b1a0cab2570fa4e37524ab25ff49234c2846c3bb4a064aace7eaa1ec02f,921612,multiple,6472,4,PRIVATE_PATH_REDACTED
frozen_core_reference,r1_multiseed_run_summary.csv,ab91afd37db5559c031ed1ffac5441b57856386e62175d94f3f55b3f2568dcc3,3086,run_summary,12,4,PRIVATE_PATH_REDACTED
