bundle_id,evidence_level,relative_path,kind,exists,size_bytes,sha256,row_count,columns_or_keys,acceptance_passed,error,source_sha256,package_sha256,source_bytes,package_bytes
mech01_numerical,supportive,supporting/mechanism_source_inputs/27_mech01_unified_k_diagnostics/mech01_manifest__55664a9c61.json,json,True,1617,3352aefc55fba1237e942a53b98dc6cfd48fb24f4e7816e0115a7b53b8859e49,,"artifacts,bundle,checkpoint,family,layers,method,passed,schema_version,script_version,source_script,stage",True,,c3f1281b8a5da2999e7e5f4ac108b09a8e32f32e682df80ca065298cb1f01f7f,3352aefc55fba1237e942a53b98dc6cfd48fb24f4e7816e0115a7b53b8859e49,2226,1617
mech01_numerical,supportive,supporting/mechanism_source_inputs/27_mech01_unified_k_diagnostics/mech01_manifest__ad1dfa93c0.json,json,True,152,87f5275cc0adf66566e28cd6e0f60cf37edd9423813c680f0fea2f0444d2f7d2,,"passed,runtime_equivalence,schema_version,script_version,stage",True,,8ce28268a6c7114b357321e6571fe1c8594b38759537879beed480a9280def94,87f5275cc0adf66566e28cd6e0f60cf37edd9423813c680f0fea2f0444d2f7d2,346,152
mech01_numerical,supportive,supporting/mechanism_source_inputs/27_mech01_unified_k_diagnostics/mech01_manifest__b3a66aadaf.json,json,True,1625,b5f68973dfbe2364f780f840670af1081a49370567a3f17dbeb79dc6257e5901,,"artifacts,bundle,checkpoint,family,layers,method,passed,schema_version,script_version,source_script,stage",True,,a851cd40a36dcc055af2857fedf2d1f98bc6cb234081a0c6a2d8f7dca79a3252,b5f68973dfbe2364f780f840670af1081a49370567a3f17dbeb79dc6257e5901,2260,1625
mech01_numerical,supportive,supporting/mechanism_source_inputs/27_mech01_unified_k_diagnostics/mech01_manifest__9dce17b4e3.json,json,True,1628,28e7114101d12593cdbe0f7080ce800b81a8bd73376d3e5d4aa3ef1a50decc9a,,"artifacts,bundle,checkpoint,family,layers,method,passed,schema_version,script_version,source_script,stage",True,,dc67e5716c670f162aa2818d80f4187411357958491491d5fe588029829ca1e9,28e7114101d12593cdbe0f7080ce800b81a8bd73376d3e5d4aa3ef1a50decc9a,2120,1628
mech01_numerical,supportive,supporting/mechanism_source_inputs/27_mech01_unified_k_diagnostics/mech01_manifest__8b992730ea.json,json,True,1630,aa1284280e38ba6975b3ca87f96282deb3942453877b580e74db5c847708fc32,,"artifacts,bundle,checkpoint,family,layers,method,passed,schema_version,script_version,source_script,stage",True,,1d91fd51a87b06e34bd92ed1d18d46fc9afe289f76e4d34cbe86075106ca3a3c,aa1284280e38ba6975b3ca87f96282deb3942453877b580e74db5c847708fc32,2138,1630
mech02_geometry,descriptive,supporting/mechanism_source_inputs/30_mech02_k_geometry/analysis_manifest__b4916b9dae.json,json,True,346,6ed7d9090444cc87c1468caddb882feaabfc1139ef7c12f86a2522e21588df35,,"artifacts,geometry_gate_candidate_passed,mech03_authorized,passed,schema_version,script_version",True,,6ed7d9090444cc87c1468caddb882feaabfc1139ef7c12f86a2522e21588df35,6ed7d9090444cc87c1468caddb882feaabfc1139ef7c12f86a2522e21588df35,346,346
mech02_geometry,descriptive,supporting/mechanism_source_inputs/30_mech02_k_geometry/geometry_gate__5ef88c7c6c.json,json,True,2491,32f74ec7e6b3644a1fdb6727cef273e661825e753fa78d579d91ea6091528a62,,"authorization_blocker,geometry_gate_candidate_passed,mech03_authorized,metric_gates,minimum_material_same_direction_layers,primary_contrast,schema_version,script_version",,,32f74ec7e6b3644a1fdb6727cef273e661825e753fa78d579d91ea6091528a62,32f74ec7e6b3644a1fdb6727cef273e661825e753fa78d579d91ea6091528a62,2491,2491
mech02_geometry,descriptive,supporting/mechanism_source_inputs/30_mech02_k_geometry/primary_cross_architecture__057be99ca2.csv,csv,True,18603,82d95b82f18d2d55193be947e0bb2833eae63f258f8f089e7553556ba2c4bb12,108,"absolute_delta_over_sd_envelope,direction,gpt_bridge_mean,gpt_bridge_sd,layer,llama124_mean,llama124_sd,llama_minus_gpt,material_vs_repeat_sd,metric,repeat_sd_envelope",,,82d95b82f18d2d55193be947e0bb2833eae63f258f8f089e7553556ba2c4bb12,82d95b82f18d2d55193be947e0bb2833eae63f258f8f089e7553556ba2c4bb12,18603,18603
mech03_shadow_prediction,limiting,supporting/mechanism_source_inputs/31_mech03_crossfit_shadow/analysis_manifest__18d9011827.json,json,True,468,7ee1e3667eda0b18b443bc45393c529c119c3144b749d815a446b5dd1f72025a,,"artifacts,mech04_authorized,passed,prediction_contract_sha256,prediction_gate_passed,schema_version,script_version",True,,7ee1e3667eda0b18b443bc45393c529c119c3144b749d815a446b5dd1f72025a,7ee1e3667eda0b18b443bc45393c529c119c3144b749d815a446b5dd1f72025a,468,468
mech03_shadow_prediction,limiting,supporting/mechanism_source_inputs/31_mech03_crossfit_shadow/prediction_gate__60eb278ddb.json,json,True,673,fd6db01138cd417550575050fc1708f668aa356b1ac25e0133a9e72c8b5fc662,,"authorization_note,layers_total,mech04_authorized,median_paired_cross_architecture_score,minimum_relative_loss_margin,paired_cells_total,positive_material_layers,positive_paired_cells,prediction_gate_passed,primary_contrast,rules,schema_version,script_version",,,fd6db01138cd417550575050fc1708f668aa356b1ac25e0133a9e72c8b5fc662,fd6db01138cd417550575050fc1708f668aa356b1ac25e0133a9e72c8b5fc662,673,673
mech03_shadow_prediction,limiting,supporting/mechanism_source_inputs/31_mech03_crossfit_shadow/primary_paired_cells__a28e97f824.csv,csv,True,2740,d3100d19cdc8d527a1521179cc48ee71f7a8a4b36fa119fb12caae0ae4a1b7e5,32,"direction,gpt_bridge_diag_minus_none,layer,llama124_diag_minus_none,llama_minus_gpt,predicted_direction,repeat",,,d3100d19cdc8d527a1521179cc48ee71f7a8a4b36fa119fb12caae0ae4a1b7e5,d3100d19cdc8d527a1521179cc48ee71f7a8a4b36fa119fb12caae0ae4a1b7e5,2740,2740
mech06_llama1b_diagnostic,limiting,supporting/mechanism_source_inputs/33_mech06_llama1b_confirmation/mech06_analysis_manifest__989aab3cef.json,json,True,1140,ec23f3dac27b5f8f582688f53015d8e5f53c30de64a8e1aea09942fc29212d0c,,"confirmation_contract_sha256,existing_training_rankings_read,mech05_contract_sha256,output_sha256,passed,schema_version,script_version,trajectory_prediction",True,,ec23f3dac27b5f8f582688f53015d8e5f53c30de64a8e1aea09942fc29212d0c,ec23f3dac27b5f8f582688f53015d8e5f53c30de64a8e1aea09942fc29212d0c,1140,1140
mech06_llama1b_diagnostic,limiting,supporting/mechanism_source_inputs/33_mech06_llama1b_confirmation/trajectory_prediction__2d0f417ac9.json,json,True,232,551d0cb2a2c366c6b65b6f0db772e67a1f2ed49d81a2c2be7b820c8e7697bfe7,,"early_signal,existing_training_rankings_used,late_signal,retrospective_ranking_evaluation_required_separately,same_signal,scale_confirmation",,,551d0cb2a2c366c6b65b6f0db772e67a1f2ed49d81a2c2be7b820c8e7697bfe7,551d0cb2a2c366c6b65b6f0db772e67a1f2ed49d81a2c2be7b820c8e7697bfe7,232,232
mech06_llama1b_diagnostic,limiting,supporting/mechanism_source_inputs/33_mech06_llama1b_confirmation/checkpoint_summary__4e639ae02f.csv,csv,True,595,aaa429d40560baaf1fa8a5e73063ae2166666ae19698e5cbf7242fa13ca1fe4e,2,"checkpoint_label,checkpoint_step,diagnostic_signal,median_diag_p95_over_p05,median_diagonal_cosine,median_covariance_relative_drift,median_top_eigenspace_overlap,diag_median_advantage,diag_positive_cells,diag_material_layers,full_median_advantage,full_positive_cells,full_material_layers",,,aaa429d40560baaf1fa8a5e73063ae2166666ae19698e5cbf7242fa13ca1fe4e,aaa429d40560baaf1fa8a5e73063ae2166666ae19698e5cbf7242fa13ca1fe4e,595,595
owt_foundational_module_allocation,supportive,supporting/mechanism_source_inputs/06_kstate_spectrum/combined_all_seeds_comparison__f9c96f6cca.csv,csv,True,6895,5d6a6c72f123480ad656f23fcd07bda1d4258ca717efa4bdbddce50079482f79,18,"seed,mode,method_label,core_cproj_structure_comparison,last_val_step,val_points,final_val_loss,best_val_loss,best_val_step,val_loss_at_10000,val_loss_late_mean_9000_11500,final_minus_best_val,final_train_eval_loss,best_train_eval_loss,best_train_eval_step,last_train_loss_step,last_train_loss,time_elapsed_sec_at_last_train_log,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction,cproj_k_state_mib,cproj_full_k_state_mib,cproj_k_state_released_mib,cproj_k_state_released_fraction,non_cproj_k_state_mib,k_state_factors,cproj_mode_id,source",,,5d6a6c72f123480ad656f23fcd07bda1d4258ca717efa4bdbddce50079482f79,5d6a6c72f123480ad656f23fcd07bda1d4258ca717efa4bdbddce50079482f79,6895,6895
owt_foundational_module_allocation,supportive,supporting/mechanism_source_inputs/01_scale_up/bridge_run_summary__2e769cc8ea.csv,csv,True,928,4dd2f6618fc6aff190e3c5d9fa56e41cd1b732c18e594fb7e137ae13e02522a4,3,"seed,method,last_val_step,final_val_loss,best_val_loss,best_val_step,val_loss_at_10000,val_loss_late_mean_9000_11500,final_minus_best_val,final_train_eval_loss,last_train_loss,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction",,,4dd2f6618fc6aff190e3c5d9fa56e41cd1b732c18e594fb7e137ae13e02522a4,4dd2f6618fc6aff190e3c5d9fa56e41cd1b732c18e594fb7e137ae13e02522a4,928,928
owt_foundational_module_allocation,supportive,supporting/mechanism_source_inputs/01_scale_up/run_summary__8af6098667.csv,csv,True,4442,020c046f22f678d39dd258f56e38c8dac6d07b5f08afcf7e4e4389ed15b22ffa,9,"seed,muon_learning_rate,method,method_label,max_iters,lr_decay_iters,last_val_step,last_val_tokens,last_val_tokens_millions,final_val_loss,best_val_loss,best_val_step,best_val_tokens,best_val_tokens_millions,final_minus_best_val,val_loss_at_2500,val_loss_at_5000,val_loss_at_10000,val_loss_late_mean_9000_11500,final_train_eval_step,final_train_eval_loss,best_train_eval_loss,best_train_eval_step,last_train_loss_step,last_train_loss,best_train_loss_step,best_train_loss,time_elapsed_sec_at_last_train_log,nominal_tokens_per_sec_to_last_train_log,current_memory_step,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction",,,020c046f22f678d39dd258f56e38c8dac6d07b5f08afcf7e4e4389ed15b22ffa,020c046f22f678d39dd258f56e38c8dac6d07b5f08afcf7e4e4389ed15b22ffa,4442,4442
