origin,data_replica,attempt,checks,scientific_hashes,passed
early_muon,3,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
early_muon,4,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
early_muon,5,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
early_newton_full,3,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer0.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer0.npz': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer0_float64.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer17.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer17.npz': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer17_float64.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer3.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer3.npz': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer3_float64.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer8.json': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer8.npz': True, 'validation_slices/early_newton_full_replica3_delayed_refresh_64_layer8_float64.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer0.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer0.npz': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer0_float64.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer17.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer17.npz': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer17_float64.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer3.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer3.npz': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer3_float64.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer8.json': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer8.npz': True, 'validation_slices/early_newton_full_replica3_production_refresh_32_layer8_float64.json': True}",True
early_newton_full,4,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
early_newton_full,5,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
late_muon,3,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
late_muon,4,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
late_muon,5,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
late_newton_full,3,PRIVATE_PATH_REDACTED,"{'selection_passed': True, 'selection_attempt': True, 'selection_manifest': True, 'manifest_passed': True, 'identity': True, 'contract': True, 'execution_contract': True, 'rows': True, 'source_outcomes_not_read': True, 'status': True, 'scientific_hashes': True, 'log_excluded': True, 'log_sealed_after_exit': True, 'log_hash': True, 'layer_coverage': True, 'evaluation_rows': True}","{'architecture_checks.json': True, 'backup_optimizer_audit.json': True, 'branch_audit.json': True, 'checkpoint_hash_audit.json': True, 'checkpoint_invariance.json': True, 'checkpoint_schema.json': True, 'checks.json': True, 'contract_audit.json': True, 'delayed_refresh_64_layer_metrics.csv': True, 'delayed_refresh_64_manifest.json': True, 'determinism_audit.json': True, 'evaluation.csv': True, 'heldout_batch_contract.json': True, 'initial_preconditioner_audit.json': True, 'launch.json': True, 'mdp05_refresh_layer_metrics.csv': True, 'mdp05_refresh_layer_metrics.jsonl': True, 'mech08_control_reference.json': True, 'mech08_control_reference_audit.json': True, 'mech09r_manifest.json': True, 'method_identity_audit.json': True, 'momentum_transfer_audit.json': True, 'optimizer_hyperparameters.json': True, 'parameter_transfer_audit.json': True, 'production_refresh_32_layer_metrics.csv': True, 'production_refresh_32_manifest.json': True, 'protocol_amendment.json': True, 'refresh_mediation_repair_contract.json': True, 'refresh_tree_audit.json': True, 'runtime.json': True, 'smoke_gate.json': True, 'source_runtime_config.json': True, 'training.csv': True, 'training_stream_contract.json': True, 'triton_audit.json': True}",True
