learning_rate,seed,method,method_label,last_common_val_step,last_common_val_tokens,final_val_loss,best_val_loss,best_val_step,final_minus_best_val,late_val_mean_10000_11500,normalized_val_auc,final_train_eval_loss,last_train_loss_step,tail50_train_loss_mean,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction,final_val_delta_vs_newton,final_val_delta_vs_muon,peak_memory_saved_vs_newton_mib
0.01,2024,muon,Muon,11500,11776000,5.173436641693115,5.1086273193359375,9000,0.06480932235717773,5.200363874435425,5.539142805597057,5.236441612243652,11980,5.373045463562011,3061.69775390625,5147.57421875,0.0,0.0,0.0,0.0,0.27665233612060547,0.0,5664.31640625
0.01,2024,newton,Newton-Muon,11500,11776000,4.89678430557251,4.8917059898376465,9000,0.005078315734863281,4.940035462379456,5.379352248233298,4.934702396392822,11980,5.084461889266968,8965.69775390625,10811.890625,5472.0,5472.0,0.0,0.0,0.0,-0.27665233612060547,0.0
0.01,2024,selective_middle,Selective-Middle (release56),11500,11776000,4.86376428604126,4.86376428604126,11500,0.0,4.9221274852752686,5.387133857478267,4.919401168823242,11980,5.05824460029602,5765.69775390625,7739.890625,2400.0,5472.0,3072.0,0.5614035087719298,-0.03302001953125,-0.30967235565185547,3072.0
0.01,2024,selective_all,Selective-All-c_proj (release84),11500,11776000,4.850926399230957,4.850926399230957,11500,0.0,4.907173156738281,5.3811136121335235,4.8864240646362305,11980,5.027058563232422,4165.69775390625,6203.732421875,864.0,5472.0,4608.0,0.8421052631578947,-0.045857906341552734,-0.3225102424621582,4608.158203125
0.01,2025,muon,Muon,11500,11776000,5.288178443908691,5.095673561096191,8000,0.1925048828125,5.238177061080933,5.5241731560748555,5.245979309082031,11980,5.3409808731079105,3061.69775390625,5147.57421875,0.0,0.0,0.0,0.0,0.27806663513183594,0.0,5664.31640625
0.01,2025,newton,Newton-Muon,11500,11776000,5.0101118087768555,4.908329486846924,9500,0.10178232192993164,4.990383267402649,5.391841535982878,4.971492767333984,11980,5.073556423187256,8965.69775390625,10811.890625,5472.0,5472.0,0.0,0.0,0.0,-0.27806663513183594,0.0
0.01,2025,selective_middle,Selective-Middle (release56),11500,11776000,4.986079216003418,4.8930583000183105,9500,0.09302091598510742,4.972070336341858,5.393365051435388,4.947841167449951,11980,5.0403820991516115,5765.69775390625,7739.890625,2400.0,5472.0,3072.0,0.5614035087719298,-0.0240325927734375,-0.30209922790527344,3072.0
0.01,2025,selective_all,Selective-All-c_proj (release84),11500,11776000,4.964038372039795,4.863317012786865,9500,0.10072135925292969,4.940065383911133,5.372700908909673,4.912576675415039,11980,5.007409791946412,4165.69775390625,6203.732421875,864.0,5472.0,4608.0,0.8421052631578947,-0.04607343673706055,-0.3241400718688965,4608.158203125
0.01,2026,muon,Muon,11500,11776000,5.248096466064453,5.077971935272217,9000,0.17012453079223633,5.224215626716614,5.5211164225702705,5.206755638122559,11980,5.314747428894043,3061.69775390625,5147.57421875,0.0,0.0,0.0,0.0,0.2475285530090332,0.0,5664.31640625
0.01,2026,newton,Newton-Muon,11500,11776000,5.00056791305542,4.86255407333374,10500,0.1380138397216797,4.990028738975525,5.390401560327281,4.944016456604004,11980,5.049558753967285,8965.69775390625,10811.890625,5472.0,5472.0,0.0,0.0,0.0,-0.2475285530090332,0.0
