direction,gpt_bridge_diag_minus_none,layer,llama124_diag_minus_none,llama_minus_gpt,predicted_direction,repeat
A_to_B,5.4490653539890094e-05,0,-6.225573999897074e-05,-0.00011674639353886084,False,0
A_to_B,-0.00011830380443238793,4,-0.0002977877626800662,-0.00017948395824767828,False,0
A_to_B,-7.858471359909453e-05,8,-5.001518224018791e-05,2.8569531358906626e-05,True,0
A_to_B,-5.2849368794712706e-05,11,1.8031789386594062e-05,7.088115818130677e-05,True,0
B_to_A,-0.00027426811385049667,0,-1.48992658476725e-05,0.00025936884800282416,True,0
B_to_A,-9.8532561456633e-05,4,-3.0950165770527425e-05,6.758239568610558e-05,True,0
B_to_A,4.1150989587937837e-05,8,9.976030176267673e-05,5.860931217473889e-05,True,0
B_to_A,-1.9031434975224304e-05,11,1.5834968533758197e-06,2.0614931828600124e-05,True,0
A_to_B,0.0,0,0.00015078050542816911,0.00015078050542816911,True,1
A_to_B,1.4244371016294563e-06,4,4.035470723830117e-05,3.8930270136671714e-05,True,1
A_to_B,0.0,8,-0.00010808536701436018,-0.00010808536701436018,False,1
A_to_B,0.0,11,-1.1063856466036867e-05,-1.1063856466036867e-05,False,1
B_to_A,0.0001542381916070876,0,7.90611405321445e-05,-7.51770510749431e-05,False,1
B_to_A,-5.719640452123015e-05,4,-3.550575293037902e-05,2.169065159085113e-05,True,1
B_to_A,1.2889330596333571e-05,8,4.0248173356932296e-05,2.7358842760598725e-05,True,1
B_to_A,-2.8505250357276135e-06,11,-1.2043251872694467e-05,-9.192726836966854e-06,False,1
A_to_B,-0.0002378310516522237,0,5.8835831651409666e-05,0.00029666688330363337,True,2
A_to_B,0.0,4,-2.7969067722939926e-05,-2.7969067722939926e-05,False,2
A_to_B,0.0001132227612918831,8,0.0,-0.0001132227612918831,False,2
A_to_B,5.1614398443674075e-05,11,1.0078943323581955e-06,-5.060650411131588e-05,False,2
B_to_A,0.00030461236806670526,0,-4.500788227562735e-05,-0.0003496202503423326,False,2
B_to_A,2.037783540433252e-05,4,0.00019732713451847103,0.00017694929911413852,True,2
B_to_A,6.245245996085082e-05,8,3.9242680470306826e-05,-2.3209779490544e-05,False,2
B_to_A,-4.1283252307806346e-05,11,2.227464333873843e-06,4.351071664168019e-05,True,2
A_to_B,5.734428950686973e-05,0,0.00021210662539627306,0.00015476233588940333,True,3
A_to_B,-9.876376328367008e-05,4,-2.193434676978694e-05,7.682941651388314e-05,True,3
A_to_B,1.7644396771344535e-05,8,6.475854760603766e-05,4.711415083469312e-05,True,3
A_to_B,-3.341968371521615e-05,11,1.5368964063184053e-05,4.87886477784002e-05,True,3
B_to_A,-0.00022666522191534496,0,8.959022107969297e-05,0.00031625544299503794,True,3
B_to_A,-0.0001760615452848938,4,0.0,0.0001760615452848938,True,3
B_to_A,5.088402940956723e-05,8,0.0,-5.088402940956723e-05,False,3
B_to_A,5.6771437771004765e-05,11,-7.946385386189407e-06,-6.471782315719418e-05,False,3
