checkpoint_cell,checkpoint_stage,checkpoint_method,data_replica,contrast,contrast_class,left,right,metric,optimizer_step,left_value,right_value,delta_left_minus_right
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_loss_auc,AUC_0_128,0.9946460665308616,0.9926632744879101,0.0019827920429514867
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,16,0.9914218205625707,0.9963719906941575,-0.0049501701315868285
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,32,0.9908470535205278,0.9954542076717331,-0.004607154151205273
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,48,0.9972519395760298,0.993735534204504,0.003516405371525755
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,64,0.9962006522117649,0.991675811047352,0.004524841164412874
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,80,0.9972755350615354,0.9910230026150307,0.006252532446504699
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,96,0.9953358234254895,0.9903130361531656,0.00502278727232397
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,112,0.9931363580395244,0.9883746127763858,0.00476174526313855
early_muon,early,muon,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,128,0.9913986996988999,0.988716001481905,0.002682698216994961
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_loss_auc,AUC_0_128,0.9939444652788363,0.9926632744879101,0.0012811907909261455
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,16,0.992011843306449,0.9963719906941575,-0.004360147387708513
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,32,0.9911196898631082,0.9954542076717331,-0.004334517808624927
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,48,0.9955377411146724,0.993735534204504,0.0018022069101684135
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,64,0.9947522419779418,0.991675811047352,0.0030764309305897353
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,80,0.9958593991124843,0.9910230026150307,0.004836396497453599
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,96,0.9944225154089369,0.9903130361531656,0.00410947925577132
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,112,0.9923304501638937,0.9883746127763858,0.003955837387507821
early_muon,early,muon,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,128,0.9910436825664077,0.988716001481905,0.002327681084502764
