contrast,optimizer_step,paired_units,origins,mean_delta,sd_across_paired_units,left_better_units,left_worse_units,left_better_origins,left_worse_origins,negative_delta_means
delayed_down_refresh_vs_frozen_down_refresh,0,12,4,0.0,0.0,0,0,0,0,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,16,12,4,0.0,0.0,0,0,0,0,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,32,12,4,0.0,0.0,0,0,0,0,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,48,12,4,0.0,0.0,0,0,0,0,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,64,12,4,0.00017201565190465748,6.984087342189173e-05,0,12,0,4,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,80,12,4,0.002394765295459872,0.000507583462124638,0,12,0,4,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,96,12,4,0.002357324795498337,0.0004027036432946705,0,12,0,4,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,112,12,4,0.002485846798735638,0.00035534555503054005,0,12,0,4,left arm is better
delayed_down_refresh_vs_frozen_down_refresh,128,12,4,0.0020512023330401807,0.00025991719021879723,0,12,0,4,left arm is better
delayed_down_refresh_vs_production,0,12,4,0.0,0.0,0,0,0,0,left arm is better
delayed_down_refresh_vs_production,16,12,4,0.0,0.0,0,0,0,0,left arm is better
delayed_down_refresh_vs_production,32,12,4,-0.00028256321564898434,0.00015833616054086331,12,0,4,0,left arm is better
delayed_down_refresh_vs_production,48,12,4,-0.0049627111580372585,0.001420607964131629,12,0,4,0,left arm is better
delayed_down_refresh_vs_production,64,12,4,-0.0049264117663831986,0.0011781666382687005,12,0,4,0,left arm is better
delayed_down_refresh_vs_production,80,12,4,-0.0026657191093011623,0.0006172015022400012,12,0,4,0,left arm is better
delayed_down_refresh_vs_production,96,12,4,-0.0016309211975733817,0.00038703782880046144,12,0,4,0,left arm is better
delayed_down_refresh_vs_production,112,12,4,-0.0006696068447021771,0.0002997546859064556,12,0,4,0,left arm is better
delayed_down_refresh_vs_production,128,12,4,-0.00015423000075426296,0.00028001964085399016,7,5,3,1,left arm is better
frozen_down_refresh_vs_production,0,12,4,0.0,0.0,0,0,0,0,left arm is better
frozen_down_refresh_vs_production,16,12,4,0.0,0.0,0,0,0,0,left arm is better
frozen_down_refresh_vs_production,32,12,4,-0.00028256321564898434,0.00015833616054086331,12,0,4,0,left arm is better
frozen_down_refresh_vs_production,48,12,4,-0.0049627111580372585,0.001420607964131629,12,0,4,0,left arm is better
frozen_down_refresh_vs_production,64,12,4,-0.005098427418287856,0.0012369528210711474,12,0,4,0,left arm is better
frozen_down_refresh_vs_production,80,12,4,-0.005060484404761034,0.00104419847774503,12,0,4,0,left arm is better
frozen_down_refresh_vs_production,96,12,4,-0.003988245993071719,0.0006455170601039737,12,0,4,0,left arm is better
frozen_down_refresh_vs_production,112,12,4,-0.0031554536434378147,0.00046318470290288195,12,0,4,0,left arm is better
frozen_down_refresh_vs_production,128,12,4,-0.0022054323337944437,0.00025734779268479937,12,0,4,0,left arm is better
