method,seed,final_val_loss,best_val_loss,tail5_val_loss_mean,normalized_val_auc,peak_memory_mib,k_state_mib,max_adamw_lr,max_matrix_lr
block4,2024,3.263,3.263,3.2713399999999995,3.617296774193548,39168.0,378.0,0.004,0.0004
diag,2024,3.2613,3.2613,3.2695999999999996,3.6157814516129028,38304.0,162.28125,0.004,0.0004
muon,2024,3.2774,3.2774,3.28604,3.6334548387096777,37703.0,0.0,0.0036,0.00036
none,2024,3.267,3.267,3.2752600000000003,3.624296774193548,38304.0,162.0,0.004,0.0004
block4,2025,3.2609,3.2609,3.26908,3.613564516129033,39168.0,378.0,0.004,0.0004
diag,2025,3.2599,3.2599,3.26802,3.612770967741936,38304.0,162.28125,0.004,0.0004
muon,2025,3.2769,3.2769,3.2854599999999996,3.633295161290323,37703.0,0.0,0.0036,0.00036
none,2025,3.2659,3.2659,3.27424,3.622480645161291,38304.0,162.0,0.004,0.0004
block4,2026,3.2627,3.2627,3.27102,3.617042741935485,39168.0,378.0,0.004,0.0004
diag,2026,3.2621,3.2621,3.27028,3.616925,38304.0,162.28125,0.004,0.0004
muon,2026,3.2771,3.2771,3.28572,3.633407258064516,37703.0,0.0,0.0036,0.00036
none,2026,3.2671,3.2671,3.2754800000000004,3.625599193548388,38304.0,162.0,0.004,0.0004

