scale,method,seed,final_val_loss,best_val_loss,tail5_mean,normalized_auc,k_state_bytes
275m,muon,2024,3.276400089263916,3.276400089263916,3.295685577392578,3.7755337295982336,0
275m,original_newton_muon,2024,3.2746872901916504,3.2746872901916504,3.293531370162964,3.7622825301150655,490733568
275m,selective_none,2024,3.27337646484375,3.27337646484375,3.292686605453491,3.767818929171492,264241152
275m,selective_diag,2024,3.273820638656616,3.273820638656616,3.2927287101745604,3.7634191959656795,264536064
275m,muon,2025,3.282120943069458,3.282120943069458,3.3014525890350344,3.782289221223477,0
275m,original_newton_muon,2025,3.2750561237335205,3.2750561237335205,3.293730068206787,3.764363702067935,490733568
275m,selective_none,2025,3.2756595611572266,3.2756595611572266,3.294918727874756,3.7710774873210267,264241152
275m,selective_diag,2025,3.2753446102142334,3.2753446102142334,3.2941745281219483,3.766174219350899,264536064
275m,muon,2026,3.2761731147766113,3.2761731147766113,3.2953765392303467,3.7725863731012934,0
275m,original_newton_muon,2026,3.274038791656494,3.274038791656494,3.2925684452056885,3.7575458801601487,490733568
275m,selective_none,2026,3.273252487182617,3.273252487182617,3.2924030780792237,3.7638081800972816,264241152
275m,selective_diag,2026,3.2727749347686768,3.2727749347686768,3.291523551940918,3.7588159014693403,264536064
275m,muon,2027,3.2763938903808594,3.2763938903808594,3.295723485946655,3.775161706592481,0
275m,original_newton_muon,2027,3.2754123210906982,3.2754123210906982,3.2942620754241942,3.7620618723135077,490733568
275m,selective_none,2027,3.27660870552063,3.27660870552063,3.2959361553192137,3.769622173984494,264241152
275m,selective_diag,2027,3.277913808822632,3.277913808822632,3.2966243267059325,3.764456114937774,264536064
455m,muon,2024,2.919156312942505,2.919156312942505,2.9262035369873045,3.259968924342386,0
455m,original_newton_muon,2024,2.9179227352142334,2.9179227352142334,2.924476146697998,3.2502935011714897,1174405120
455m,selective_none,2024,2.916889190673828,2.916889190673828,2.9238071918487547,3.253629078000984,637534208
455m,selective_diag,2024,2.9184772968292236,2.9184772968292236,2.9251154899597167,3.2508155516530044,638058496
455m,muon,2025,2.919555902481079,2.919555902481079,2.9265290260314942,3.260072919846381,0
455m,original_newton_muon,2025,2.918459415435791,2.918459415435791,2.9249926090240477,3.2504737607184673,1174405120
455m,selective_none,2025,2.9173495769500732,2.9173495769500732,2.92427921295166,3.2538638405951876,637534208
455m,selective_diag,2025,2.918348550796509,2.918348550796509,2.92486515045166,3.25064875805538,638058496
455m,muon,2026,2.920720338821411,2.920720338821411,2.9277403354644775,3.26145107024068,0
455m,original_newton_muon,2026,2.9185080528259277,2.9185080528259277,2.925213861465454,3.2514386299072497,1174405120
455m,selective_none,2026,2.9181888103485107,2.9181888103485107,2.9251183032989503,3.2546847341644685,637534208
455m,selective_diag,2026,2.919905424118042,2.919905424118042,2.926580810546875,3.2510779681021735,638058496
