scale,method,seed,final_val_loss,tail5_mean,normalized_auc,k_state_mib
124m,down_diag,2024,3.266753435,3.274309158,3.60996717977,162.1875
124m,down_none,2024,3.267063618,3.2746579172,3.61004301806,162
124m,newton_full,2024,3.267097235,3.2747175696,3.61169958315,546
124m,muon,2024,3.268193483,3.2757551668,3.61327203437,0
124m,down_diag,2025,3.267637014,3.2751564502,3.61290844982,162.1875
124m,down_none,2025,3.2688241,3.2763195512,3.61394747987,162
124m,newton_full,2025,3.267860889,3.275319433,3.61326765623,546
124m,muon,2025,3.268335819,3.2758591652,3.61515329733,0
124m,down_diag,2026,3.266387224,3.2739135264,3.6114534928,162.1875
124m,down_none,2026,3.265029907,3.2725995064,3.60969488463,162
124m,newton_full,2026,3.265601873,3.2731980322,3.61223433285,546
124m,muon,2026,3.266204596,3.273761511,3.6120496892,0
1b,down_diag,2024,2.976336241,2.9844865799999996,3.3703014562580638,1728.755859375
1b,down_none,2024,2.975529432,2.9836603640000003,3.3715783492016125,1728
1b,newton_full,2024,2.976945162,2.9850003242,3.3738349772661294,5888.25
1b,muon,2024,2.971026421,2.9791041374,3.372391339322582,0
1b,down_diag,2025,2.975097418,2.9832160474,3.3679606856693547,1728.755859375
1b,down_none,2025,2.973872423,2.9820060728,3.369048497338709,1728
1b,newton_full,2025,2.976119041,2.984172344,3.369502121403225,5888.25
1b,muon,2025,2.970222235,2.9782969952,3.3701044456290323,0
1b,down_diag,2026,2.975808859,2.98388834,3.3706586880403226,1728.755859375
1b,down_none,2026,2.9743855,2.9825685024,3.3728736389193545,1728
1b,newton_full,2026,2.977070808,2.9851433276000003,3.3738208778387104,5888.25
1b,muon,2026,2.969125986,2.9772699356,3.3694365389999996,0
